url,srnummer,erlasstitel,erlasstitel_kurz,section_title,section_href,article_title,article_href,article_text
https://www.fedlex.admin.ch/eli/cc/1991/298_298_298/de,922.32,Verordnung über die Wasser- und Zugvogelreservate von internationaler und nationaler Bedeutung,(WZVV),1. Abschnitt:  Wasser- und Zugvogelreservate von internationaler  und nationaler Bedeutung,https://www.fedlex.admin.ch/eli/cc/1991/298_298_298/de#sec_1,Art. 1  Zweck,https://www.fedlex.admin.ch/eli/cc/1991/298_298_298/de#art_1,Art. 1  Zweck Wasser- und Zugvogelreservate von internationaler und nationaler Bedeutung dienen dem Schutz und der Erhaltung der Zugvögel und der ganzjährig in der Schweiz lebenden Wasservögel.
https://www.fedlex.admin.ch/eli/cc/1991/298_298_298/de,922.32,Verordnung über die Wasser- und Zugvogelreservate von internationaler und nationaler Bedeutung,(WZVV),1. Abschnitt:  Wasser- und Zugvogelreservate von internationaler  und nationaler Bedeutung,https://www.fedlex.admin.ch/eli/cc/1991/298_298_298/de#sec_1,Art. 2  Bezeichnung,https://www.fedlex.admin.ch/eli/cc/1991/298_298_298/de#art_2,"Art. 2  Bezeichnung 1
Wasser- und Zugvogelreservate von internationaler und nationaler Bedeutung sind die im Anhang 1 aufgezählten Objekte.2
Das Bundesinventar der Wasser- und Zugvogelreservate von internationaler und nationaler Bedeutung (Inventar) enthält für jedes Schutzgebiet:a. eine kartographische Darstellung des Perimeters und eine Beschreibung des Gebietes;b. das Schutzziel;c.4 besondere Bestimmungen und deren zeitliche Geltung (Art. 5 und 6);d. allenfalls einen Perimeter ausserhalb des Schutzgebietes, in welchem Wildschäden vergütet werden.3
Das Inventar ist Bestandteil dieser Verordnung und wird ausschliesslich in elektronischer Form auf der Internetseite des Bundesamtes für Umwelt (BAFU)5 ausserhalb der Amtlichen Sammlung des Bundesrechtes (AS) veröffentlicht (Art. 5 des Publikationsgesetzes vom 18. Juni 20046).74 Fassung gemäss Ziff. I der V vom 13. Mai 2009, in Kraft seit 1. Juli 2009  (AS 2009 2525).5 www.bafu.admin.ch > Themen > Biodiversität > Fachinformation > Massnahmen > Ökologische Infrastruktur > Wasser- und Zugvogelreservate6 SR 170.5127 Fassung gemäss Ziff. I und III der V vom 1. Juli 2015, in Kraft seit 15. Juli 2015 (AS 2015 2209)."
https://www.fedlex.admin.ch/eli/cc/1991/298_298_298/de,922.32,Verordnung über die Wasser- und Zugvogelreservate von internationaler und nationaler Bedeutung,(WZVV),1. Abschnitt:  Wasser- und Zugvogelreservate von internationaler  und nationaler Bedeutung,https://www.fedlex.admin.ch/eli/cc/1991/298_298_298/de#sec_1,Art. 3,https://www.fedlex.admin.ch/eli/cc/1991/298_298_298/de#art_3,"Art. 38  Geringfügige Änderungen Das Eidgenössische Departement für Umwelt, Verkehr, Energie und Kommunikation ist befugt, im Einvernehmen mit den Kantonen die Bezeichnung der Objekte geringfügig zu ändern, sofern die Artenvielfalt erhalten bleibt.9 Geringfügig sind:a. Änderung des Perimeters um höchstens fünf Prozent der Fläche des Objekts;b. Verkleinerung des Perimeters um höchstens zehn Prozent der Fläche des Objektes, wenn der Perimeter mit einem mindestens gleich grossen neuen Gebietsteil erweitert wird.8 Fassung gemäss Ziff. II der V vom 18. Febr. 2004, in Kraft seit 1. März 2004  (AS 2004 1265).9 Fassung gemäss Ziff. I der V vom 1. Juli 2015, in Kraft seit 15. Juli 2015 (AS 2015 2209)."
https://www.fedlex.admin.ch/eli/cc/1991/298_298_298/de,922.32,Verordnung über die Wasser- und Zugvogelreservate von internationaler und nationaler Bedeutung,(WZVV),1. Abschnitt:  Wasser- und Zugvogelreservate von internationaler  und nationaler Bedeutung,https://www.fedlex.admin.ch/eli/cc/1991/298_298_298/de#sec_1,Art. 4  Besondere Massnahmen bei der Aufhebung oder Abänderung  von Schutzgebieten,https://www.fedlex.admin.ch/eli/cc/1991/298_298_298/de#art_4,"Art. 4  Besondere Massnahmen bei der Aufhebung oder Abänderung  von Schutzgebieten Die Kantone sorgen in den neu für die Jagd offenen Gebieten dafür, dass die Bejagung schonend einsetzt und erst nach einer angemessenen Übergangsfrist in vollem Umfang erfolgt."
https://www.fedlex.admin.ch/eli/cc/1991/298_298_298/de,922.32,Verordnung über die Wasser- und Zugvogelreservate von internationaler und nationaler Bedeutung,(WZVV),2. Abschnitt: Schutz der Artenvielfalt und der Lebensräume,https://www.fedlex.admin.ch/eli/cc/1991/298_298_298/de#sec_2,Art. 5 Artenschutz,https://www.fedlex.admin.ch/eli/cc/1991/298_298_298/de#art_5,"Art. 5 Artenschutz 1
In den Wasser- und Zugvogelreservaten gelten folgende allgemeine Bestimmungen:a.10 Die Jagd ist verboten.b. Tiere dürfen nicht gestört, vertrieben oder aus dem Gebiet herausgelockt werden.bbis.11 Das Füttern von wildlebenden Tieren und das Einrichten von Salzlecken sind verboten. Die Kantone können im Siedlungsgebiet Ausnahmen gestatten.c.12 Hunde sind an der Leine zu führen; davon ausgenommen sind Nutzhunde in der Landwirtschaft.d. Das Tragen und Aufbewahren von Waffen und Fallen ist verboten. Die Kantone können für Personen, die innerhalb des Gebiets wohnen, Ausnahmen gestatten. Auf Wegen und Strassen dürfen Jagdberechtigte während der Jagd und Militärdienstpflichtige zur Erfüllung ihrer Wehrpflicht (Dienst-, Schiess- und Inspektionspflicht) das Gebiet mit ungeladenen Waffen durchqueren.e.13 Militärische Übungen mit scharfer oder Übungsmunition sowie das Starten und das Landen mit militärischen Luftfahrzeugen zu Ausbildungs- und Übungszwecken sind verboten. Vorbehalten sind die vertraglich geregelte Benützung besonderer Schiessplätze und militärischer Anlagen sowie von der Luftwaffe im Einvernehmen mit dem BAFU14 festgelegte abweichende Regelungen für militärische Luftfahrzeuge.f.15 Das Abfliegen und Landen mit zivilen, bemannten Luftfahrzeugen ist verboten, ausser im Rahmen des Betriebs von bestehenden Flugplätzen sowie nach den Bestimmungen der Artikel 19 Absatz 3 Buchstabe a und 28 Absatz
1 der Aussenlandeverordnung vom 14. Mai 201416.fbis.17 Der Betrieb von zivilen, unbemannten Luftfahrzeugen ist verboten.g.18 Das Fahren mit Drachensegelbrettern oder ähnlichen Geräten und der Betrieb von Modellbooten sind verboten.h.19 Die Kantone können besondere Massnahmen zur Förderung und zum Schutz der Fischbestände (fischereiliche Hegemassnahmen) bewilligen, sofern dadurch die Zielsetzung der Wasser- und Zugvogelreservate nicht beeinträchtigt wird.2
Die Durchführung von sportlichen Anlässen und sonstigen gesellschaftlichen Veranstaltungen ist nur zulässig, wenn dadurch das Schutzziel nicht beeinträchtigt werden kann. Die Veranstalter bedürfen einer kantonalen Bewilligung.3
Besondere Bestimmungen nach Artikel 2 Absatz 2 sowie Massnahmen nach den Artikeln
8−10 und 12 bleiben vorbehalten.2010 Fassung gemäss Ziff. I der V vom 1. Juli 2015, in Kraft seit 15. Juli 2015 (AS 2015 2209).11 Eingefügt durch Ziff. I der V vom 1. Juli 2015, in Kraft seit 15. Juli 2015 (AS 2015 2209).12 Fassung gemäss Ziff. I der V vom 1. Juli 2015, in Kraft seit 15. Juli 2015 (AS 2015 2209).13 Fassung gemäss Ziff. I der V vom 13. Mai 2009, in Kraft seit 1. Juli 2009  (AS 2009 2525).14 Ausdruck gemäss Ziff. I der V vom 1. Juli 2015, in Kraft seit 15. Juli 2015 (AS 2015 2209). Diese Änd. wurde im ganzen Erlass berücksichtigt.15 Fassung gemäss Ziff. I der V vom 1. Juli 2015, in Kraft seit 15. Juli 2015 (AS 2015 2209).16 SR 748.132.317 Eingefügt durch Anhang Ziff. 7 der Aussenlandeverordnung vom 14. Mai 2014  (AS 2014 1339). Fassung gemäss Ziff. I der V vom 1. Juli 2015, in Kraft seit 15. Juli 2015 (AS 2015 2209).18 Eingefügt durch Ziff. I der V vom 13. Mai 2009 (AS 2009 2525). Fassung gemäss Ziff. I der V vom 1. Juli 2015, in Kraft seit 15. Juli 2015 (AS 2015 2209).19 Eingefügt durch Ziff. I der V vom 13. Mai 2009, in Kraft seit 1. Juli 2009  (AS 2009 2525).20 Fassung gemäss Ziff. I der V vom 1. Juli 2015, in Kraft seit 15. Juli 2015 (AS 2015 2209)."
https://www.fedlex.admin.ch/eli/cc/1991/298_298_298/de,922.32,Verordnung über die Wasser- und Zugvogelreservate von internationaler und nationaler Bedeutung,(WZVV),2. Abschnitt: Schutz der Artenvielfalt und der Lebensräume,https://www.fedlex.admin.ch/eli/cc/1991/298_298_298/de#sec_2,Art. 6 Schutz der Lebensräume,https://www.fedlex.admin.ch/eli/cc/1991/298_298_298/de#art_6,"Art. 6 Schutz der Lebensräume 1
Bund und Kantone sorgen bei der Erfüllung ihrer Aufgaben dafür, dass den Schutzzielen der Wasser- und Zugvogelreservate Rechnung getragen wird. Liegen im Einzelfall andere Interessen vor, ist anhand einer Interessenabwägung zu entscheiden.1bis
Sind beim Vollzug durch den Bund andere Bundesbehörden als das BAFU zuständig, so wirkt dieses nach den Artikeln 62a und 62b des Regierungs- und Verwaltungsorganisationsgesetzes vom 21. März 199721 mit.222
Die Wasser- und Zugvogelreservate sind bei der Richt- und Nutzungsplanung zu berücksichtigen.3
Weitergehende oder anders lautende Biotopschutzbestimmungen nach Artikel 2 Absatz 2 dieser Verordnung und nach den Artikeln 18 ff. des Bundesgesetzes vom 1.
Juli 196623 über den Natur- und Heimatschutz bleiben vorbehalten.2421 SR 172.01022  Eingefügt durch Ziff. II 21 der V vom 2. Febr. 2000 zum Bundesgesetz über die Koordi- nation und Vereinfachung von Entscheidverfahren (AS 2000 703). Fassung gemäss Ziff. I der V vom 13. Mai 2009, in Kraft seit 1. Juli 2009 (AS 2009 2525).23 SR 45124 Fassung gemäss Ziff. I der V vom 13. Mai 2009, in Kraft seit 1. Juli 2009  (AS 2009 2525)."
https://www.fedlex.admin.ch/eli/cc/1991/298_298_298/de,922.32,Verordnung über die Wasser- und Zugvogelreservate von internationaler und nationaler Bedeutung,(WZVV),2. Abschnitt: Schutz der Artenvielfalt und der Lebensräume,https://www.fedlex.admin.ch/eli/cc/1991/298_298_298/de#sec_2,Art. 7  Markierung und Information,https://www.fedlex.admin.ch/eli/cc/1991/298_298_298/de#art_7,"Art. 7  Markierung und Information 1
Die Kantone sorgen für die Information der Jagdberechtigten und der Öffentlichkeit über die Wasser- und Zugvogelreservate.2
Sie sorgen für die Markierung der Wasser- und Zugvogelreservate im Gelände.3
An den wichtigsten Eingängen in die Reservate sowie bei besonders schutzwürdigen Lebensräumen innerhalb der Gebiete sind Hinweistafeln mit Angaben zum Schutzgebiet, zum Schutzziel und zu den wichtigsten Schutzmassnahmen anzubringen."
https://www.fedlex.admin.ch/eli/cc/1991/298_298_298/de,922.32,Verordnung über die Wasser- und Zugvogelreservate von internationaler und nationaler Bedeutung,(WZVV),3. Abschnitt: Wildschaden,https://www.fedlex.admin.ch/eli/cc/1991/298_298_298/de#sec_3,Art. 8  Verhütung von Wildschaden,https://www.fedlex.admin.ch/eli/cc/1991/298_298_298/de#art_8,"Art. 8  Verhütung von Wildschaden 1
Die Reservatsaufseher der Wasser- und Zugvogelreservate können auf Anordnung der kantonalen Fachstelle jederzeit Massnahmen gegen einzelne jagdbare Tiere ergreifen, welche erheblichen Schaden anrichten.2
Im Übrigen gelten die kantonalen Bestimmungen über die Verhütung von Wildschäden."
https://www.fedlex.admin.ch/eli/cc/1991/298_298_298/de,922.32,Verordnung über die Wasser- und Zugvogelreservate von internationaler und nationaler Bedeutung,(WZVV),3. Abschnitt: Wildschaden,https://www.fedlex.admin.ch/eli/cc/1991/298_298_298/de#sec_3,Art. 9  Besondere Massnahmen,https://www.fedlex.admin.ch/eli/cc/1991/298_298_298/de#art_9,"Art. 9  Besondere Massnahmen 1
Die Kantone können für die Regulierung von Beständen jagdbarer Tierarten in Wasser- und Zugvogelreservaten besondere Massnahmen vorsehen, sofern dies für den Schutz der Lebensräume, für die Erhaltung der Artenvielfalt, zur Hege oder zur Verhütung von übermässigen Wildschäden notwendig ist und die Schutzziele dadurch nicht beeinträchtigt werden.251bis
Die Voraussetzungen nach Absatz 1 sind insbesondere nach folgenden Kriterien zu prüfen:a. Bestandesgrösse der zu regulierenden Tierarten innerhalb und in der näheren Umgebung des Schutzgebiets;b. Art, Ausmass und Ort der Gefährdung oder des Schadens;c. Verursachung der Gefährdung oder des Schadens durch Bestände der zu regulierenden Tierarten, die innerhalb des Schutzgebiets leben;d. Möglichkeit, schonendere Massnahmen zur Beseitigung der Gefährdung oder zur Verhütung des Schadens zu ergreifen;e. voraussichtliche unerwünschte Auswirkungen des Eingriffs auf das Schutzgebiet.261ter
Sofern diese Massnahmen für das betroffene Schutzgebiet nicht bereits gemäss Artikel 2 Absatz 2 als zulässig gelten, bedürfen diese:a. in Wasser- und Zugvogelreservaten von internationaler Bedeutung einer vorgängigen Bewilligung durch das BAFU;b. in Wasser- und Zugvogelreservaten von nationaler Bedeutung einer vorgängigen Anhörung durch das BAFU.272
Die kantonale Fachstelle sorgt dafür, dass diese Massnahmen mit den kantonalen Fachstellen für Naturschutz und Wald koordiniert werden.283
Sie können bei der Durchführung dieser Massnahmen neben den Reservatsaufsehern auch Wildhüter, Jagdaufseher und Jagdberechtigte beiziehen.25 Fassung gemäss Ziff. I der V vom 1. Juli 2015, in Kraft seit 15. Juli 2015 (AS 2015 2209).26 Eingefügt durch Ziff. I der V vom 1. Juli 2015, in Kraft seit 15. Juli 2015 (AS 2015 2209).27 Eingefügt durch Ziff. I der V vom 1. Juli 2015, in Kraft seit 15. Juli 2015 (AS 2015 2209).28 Fassung gemäss Ziff. I der V vom 1. Juli 2015, in Kraft seit 15. Juli 2015 (AS 2015 2209)."
https://www.fedlex.admin.ch/eli/cc/1991/298_298_298/de,922.32,Verordnung über die Wasser- und Zugvogelreservate von internationaler und nationaler Bedeutung,(WZVV),3. Abschnitt: Wildschaden,https://www.fedlex.admin.ch/eli/cc/1991/298_298_298/de#sec_3,Art. 9a,https://www.fedlex.admin.ch/eli/cc/1991/298_298_298/de#art_9_a,"Art. 9a29 Verhütung von Schäden durch Kormorane Zur Verhütung von Schäden durch Kormorane an den Fanggeräten der Berufsfischerei erlässt das BAFU auf Ersuchen und unter Mitwirkung der Kantone eine Vollzugshilfe zur Schadenverhütung, Schadenerhebung, Regulation der Kolonien in den Wasser- und Zugvogelreservaten sowie zur interkantonalen Koordination.29 Eingefügt durch Ziff. I der V vom 1. Juli 2015, in Kraft seit 15. Juli 2015 (AS 2015 2209)."
